date,total,esm,dual,faux,cjs
2021-08-24,5617,341,95,832,4349
2021-11-09,5647,411,119,809,4308
2022-08-01,5734,496,207,791,4240
2022-11-04,5747,518,216,785,4228
2023-05-29,6240,630,417,783,4410
2023-11-22,6818,734,510,881,4693
2024-05-27,7042,819,736,826,4661
2024-11-27,8087,942,1152,843,5150
2025-06-05,8677,995,1573,859,5250
2025-12-04,14159,1779,2947,1522,7911
2026-02-23,14888,1949,2927,1504,8508
2026-02-24,4996,831,973,411,2781
2026-02-25,4996,832,973,411,2780
2026-02-26,4996,833,973,411,2779
2026-02-27,4996,833,973,411,2779
2026-03-02,4996,834,974,411,2777
2026-03-09,4996,834,975,410,2777
2026-03-16,4996,845,977,409,2765
2026-03-23,4996,856,968,409,2763
2026-03-30,4996,859,967,409,2761
2026-04-06,4996,858,971,409,2758
2026-04-13,4996,860,972,409,2755
2026-04-20,4996,861,973,409,2753
2026-04-27,4996,861,978,407,2750
2026-05-04,4996,861,981,404,2750
2026-05-11,4996,865,982,404,2745
2026-05-18,4996,866,982,404,2744
2026-05-25,4996,887,987,404,2718
2026-06-01,4996,891,986,404,2715
2026-06-08,4996,892,986,403,2715
2026-06-15,4996,895,987,402,2712
2026-06-22,4996,1003,982,402,2609
2026-06-29,4996,1005,982,402,2607
